projectIdentifier,subappType,subapplicationType
DR-4234-0006-F,HMGP 5% Initiative,Generators
DR-4174-0005-P,Planning,Mitigation Planning
DR-4174-0004-P,Planning,Mitigation Planning
DR-4174-0003-P,Planning,Mitigation Planning
DR-4174-0002-R,Regular Project,Safe Room/Wind Shelter
DR-4136-0003-R,Regular Project,Safe Room/Wind Shelter
DR-4164-0004-R,Regular Project,Safe Room/Wind Shelter
DR-4152-0006-P,Planning,Mitigation Planning
DR-4152-0009-P,Planning,Mitigation Planning
DR-4160-0003-R,Regular Project,Safe Room/Wind Shelter
DR-4152-0018-F,HMGP 5% Initiative,Warning Systems
DR-4152-0005-P,Planning,Mitigation Planning
DR-4143-0006-P,Planning,Mitigation Planning
DR-4168-0006-R,Regular Project,Seismic Retrofit
DR-4226-0005-R,Regular Project,Safe Room/Wind Shelter
DR-4226-0001-R,Regular Project,Safe Room/Wind Shelter
DR-4117-0023-R,Regular Project,Safe Room/Wind Shelter
DR-4136-0002-R,Regular Project,Safe Room/Wind Shelter
DR-4109-0008-P,Planning,Mitigation Planning
DR-4242-0005-R,Regular Project,Seismic Retrofit
DR-4261-0011-F,HMGP 5% Initiative,Warning Systems
DR-4261-0004-R,Regular Project,Generators
DR-4261-0025-R,Regular Project,Generators
DR-4188-0014-R,Regular Project,Generators
DR-4091-0010-R,Regular Project,Generators
DR-4091-0009-R,Regular Project,Generators
DR-4091-0011-R,Regular Project,Generators
DR-4091-0022-R,Regular Project,Acquisitions
DR-4212-0007-R,Regular Project,Generators
DR-4212-0006-R,Regular Project,Generators
DR-4212-0003-P,Planning,Mitigation Planning
DR-4173-0007-P,Planning,Mitigation Planning
DR-4182-0013-R,Regular Project,Safe Room/Wind Shelter
DR-4255-0017-R,Regular Project,Generators
DR-4221-0005-R,Regular Project,Generators
DR-4224-0002-F,HMGP 5% Initiative,Education and Awareness
DR-4196-0006-P,Planning,Mitigation Planning
DR-4222-0026-R,Regular Project,Safe Room/Wind Shelter
DR-4222-0042-F,HMGP 5% Initiative,Warning Systems
DR-4222-0005-F,HMGP 5% Initiative,Warning Systems
DR-4222-0006-F,HMGP 5% Initiative,Warning Systems
DR-4222-0010-F,HMGP 5% Initiative,Warning Systems
DR-4222-0032-F,HMGP 5% Initiative,Warning Systems
DR-4222-0039-R,Regular Project,Safe Room/Wind Shelter
DR-4222-0031-F,HMGP 5% Initiative,Warning Systems
DR-4222-0018-R,Regular Project,Safe Room/Wind Shelter
DR-4222-0004-R,Regular Project,Safe Room/Wind Shelter
DR-4419-0013-R,Regular Project,Safe Room/Wind Shelter
DR-4280-0003-F,HMGP 5% Initiative,Acquisitions
DR-4419-0002-R,Regular Project,Safe Room/Wind Shelter
DR-4419-0008-R,Regular Project,Safe Room/Wind Shelter
DR-4266-0004-F,HMGP 5% Initiative,Generators
DR-4266-0013-R,Regular Project,Generators
DR-4332-0011-F,HMGP 5% Initiative,Generators
DR-4259-0025-F,HMGP 5% Initiative,Warning Systems
DR-4086-0188-R,Regular Project,Generators
DR-4086-0236-R,Regular Project,Generators
DR-4086-0250-R,Regular Project,Generators
DR-4086-0612-R,Regular Project,Generators
DR-4086-0130-R,Regular Project,Generators
DR-4086-0557-R,Regular Project,Generators
DR-4086-0274-R,Regular Project,Generators
DR-4086-0283-R,Regular Project,Generators
DR-4325-0017-R,Regular Project,Generators
DR-4223-0040-R,Regular Project,Safe Room/Wind Shelter
DR-4255-0018-R,Regular Project,Generators
DR-4266-0009-P,Planning,Mitigation Planning
DR-4106-0003-R,Regular Project,Shoreline Stabilization
DR-4112-0003-R,Regular Project,Safe Room/Wind Shelter
DR-4119-0007-R,Regular Project,Safe Room/Wind Shelter
DR-4097-0004-R,Regular Project,Flood Control
DR-4193-0006-R,Regular Project,Seismic Retrofit
DR-4193-0003-R,Regular Project,Seismic Retrofit
DR-4122-0001-R,Regular Project,Elevations
DR-4110-0012-F,HMGP 5% Initiative,Generators
DR-4166-0011-R,Regular Project,Landslide Stabilization
DR-4216-0005-R,Regular Project,Safe Room/Wind Shelter
DR-4240-0056-R,Regular Project,Seismic Retrofit
DR-4240-0004-R,Regular Project,Seismic Retrofit
DR-4283-0057-R,Regular Project,"Feasibility, Engineering, and Design Studies"
DR-4240-0031-R,Regular Project,Wildfire Mitigation
DR-4085-0077-R,Regular Project,Generators
DR-4085-0009-F,HMGP 5% Initiative,Warning Systems
DR-4240-0020-R,Regular Project,Seismic Retrofit
DR-4168-0001-R,Regular Project,Acquisitions
DR-4240-0021-R,Regular Project,Seismic Retrofit
DR-4158-0010-P,Planning,Mitigation Planning
DR-4085-0057-R,Regular Project,Generators
DR-4085-0005-R,Regular Project,Shoreline Stabilization
DR-4131-0013-R,Regular Project,Wildfire Mitigation
DR-4145-0081-P,Planning,Mitigation Planning
DR-4145-0067-R,Regular Project,Wildfire Mitigation
DR-4239-0013-R,Regular Project,Safe Room/Wind Shelter
DR-4217-0005-R,Regular Project,Landslide Stabilization
DR-4240-0029-R,Regular Project,Seismic Retrofit
DR-4240-0037-R,Regular Project,Seismic Retrofit
DR-4420-0004-F,HMGP 5% Initiative,Warning Systems
DR-4283-0017-R,Regular Project,Utility and Infrastructure Protection
DR-4157-0002-R,Regular Project,Acquisitions
DR-4198-0003-R,Regular Project,Acquisitions
DR-4246-0006-R,Regular Project,Utility and Infrastructure Protection
DR-4207-0003-R,Regular Project,Acquisitions
DR-4126-0012-R,Regular Project,Acquisitions
DR-4090-0012-R,Regular Project,Elevations
DR-4090-0014-R,Regular Project,Elevations
DR-4090-0021-R,Regular Project,Elevations
DR-4149-0002-R,Regular Project,Acquisitions
DR-4119-0008-R,Regular Project,Acquisitions
DR-4105-0005-R,Regular Project,Flood Control
DR-4108-0006-R,Regular Project,Flood Control
DR-4238-0022-R,Regular Project,Utility and Infrastructure Protection
DR-4227-0004-R,Regular Project,Utility and Infrastructure Protection
DR-4169-0011-R,Regular Project,Utility and Infrastructure Protection
DR-4185-0004-R,Regular Project,Acquisitions
DR-4154-0010-R,Regular Project,Acquisitions
DR-4156-0011-R,Regular Project,Acquisitions
DR-4118-0014-R,Regular Project,Acquisitions
DR-4127-0005-R,Regular Project,Acquisitions
DR-4135-0005-R,Regular Project,Utility and Infrastructure Protection
DR-4156-0006-R,Regular Project,Utility and Infrastructure Protection
DR-4185-0003-R,Regular Project,Flood Control
DR-4098-0015-R,Regular Project,Acquisitions
DR-4099-0005-R,Regular Project,Acquisitions
DR-4172-0002-R,Regular Project,Acquisitions
DR-4121-0001-R,Regular Project,Acquisitions
DR-4289-0004-R,Regular Project,Acquisitions
DR-4172-0004-R,Regular Project,Elevations
DR-4118-0013-R,Regular Project,Utility and Infrastructure Protection
DR-4179-0010-R,Regular Project,Utility and Infrastructure Protection
DR-4154-0012-R,Regular Project,Acquisitions
DR-4144-0017-R,Regular Project,Utility and Infrastructure Protection
DR-4154-0009-R,Regular Project,Flood Control
DR-4108-0004-R,Regular Project,Flood Control
DR-4238-0017-R,Regular Project,Utility and Infrastructure Protection
DR-4227-0002-R,Regular Project,Acquisitions
DR-4114-0006-R,Regular Project,Utility and Infrastructure Protection
DR-4114-0008-R,Regular Project,Utility and Infrastructure Protection
DR-4126-0010-R,Regular Project,Utility and Infrastructure Protection
DR-4126-0011-R,Regular Project,Utility and Infrastructure Protection
DR-4186-0016-R,Regular Project,Flood Control
DR-4186-0019-R,Regular Project,Utility and Infrastructure Protection
DR-4186-0020-R,Regular Project,Utility and Infrastructure Protection
DR-4186-0014-R,Regular Project,Relocations
DR-4115-0010-R,Regular Project,Utility and Infrastructure Protection
DR-4115-0014-R,Regular Project,Utility and Infrastructure Protection
DR-4137-0002-R,Regular Project,Utility and Infrastructure Protection
DR-4115-0013-R,Regular Project,Utility and Infrastructure Protection
DR-4233-0005-R,Regular Project,Acquisitions
DR-4169-0005-R,Regular Project,Utility and Infrastructure Protection
DR-4169-0012-R,Regular Project,Utility and Infrastructure Protection
DR-4289-0017-R,Regular Project,Acquisitions
DR-4128-0008-R,Regular Project,Acquisitions
DR-4093-0004-R,Regular Project,Acquisitions
DR-4093-0003-R,Regular Project,Acquisitions
DR-4093-0001-R,Regular Project,Acquisitions
DR-4149-0001-R,Regular Project,Acquisitions
DR-4099-0002-R,Regular Project,Acquisitions
DR-4149-0003-R,Regular Project,Acquisitions
DR-4099-0004-R,Regular Project,Acquisitions
DR-4141-0006-R,Regular Project,Acquisitions
DR-4141-0004-R,Regular Project,Acquisitions
DR-4141-0007-R,Regular Project,Acquisitions
DR-4209-0011-R,Regular Project,Flood Control
DR-4209-0012-R,Regular Project,Flood Control
DR-4169-0010-R,Regular Project,Utility and Infrastructure Protection
DR-4209-0014-R,Regular Project,Acquisitions
DR-4209-0013-R,Regular Project,Flood Control
DR-4169-0004-R,Regular Project,Utility and Infrastructure Protection
DR-4169-0008-R,Regular Project,Utility and Infrastructure Protection
DR-4184-0005-R,Regular Project,Acquisitions
DR-4125-0002-R,Regular Project,Utility and Infrastructure Protection
DR-4098-0013-R,Regular Project,Acquisitions
DR-4181-0002-R,Regular Project,Acquisitions
DR-4132-0001-R,Regular Project,Acquisitions
DR-4184-0007-R,Regular Project,Acquisitions
DR-4184-0011-R,Regular Project,Acquisitions
DR-4098-0002-R,Regular Project,Acquisitions
DR-4149-0004-R,Regular Project,Acquisitions
DR-4099-0006-R,Regular Project,Acquisitions
DR-4105-0003-R,Regular Project,Acquisitions
DR-4289-0016-R,Regular Project,Acquisitions
DR-4238-0018-R,Regular Project,Acquisitions
DR-4105-0004-R,Regular Project,Flood Control
DR-4114-0005-R,Regular Project,Acquisitions
DR-4114-0004-R,Regular Project,Acquisitions
DR-4098-0012-R,Regular Project,Acquisition/Elevation Mix
DR-4126-0008-R,Regular Project,Acquisitions
DR-4155-0050-R,Regular Project,Utility and Infrastructure Protection
DR-4155-0059-R,Regular Project,Utility and Infrastructure Protection
DR-4170-0008-R,Regular Project,Elevations
DR-4228-0001-R,Regular Project,Acquisitions
DR-4153-0004-R,Regular Project,Acquisitions
DR-4153-0006-R,Regular Project,Acquisitions
DR-4145-0082-R,Regular Project,Flood Control
DR-4281-0008-R,Regular Project,Utility and Infrastructure Protection
DR-4220-0004-R,Regular Project,Acquisitions
DR-4164-0003-R,Regular Project,Acquisitions
DR-4183-0004-R,Regular Project,Utility and Infrastructure Protection
DR-4210-0008-R,Regular Project,Acquisitions
DR-4210-0009-R,Regular Project,Acquisitions
DR-4161-0003-R,Regular Project,Elevations
DR-4230-0009-R,Regular Project,Acquisitions
DR-4145-0052-R,Regular Project,Elevations
DR-4145-0087-R,Regular Project,Flood Control
DR-4145-0044-R,Regular Project,Elevations
DR-4236-0003-R,Regular Project,Acquisitions
DR-4236-0004-R,Regular Project,Acquisitions
DR-4155-0031-R,Regular Project,Utility and Infrastructure Protection
DR-4155-0033-R,Regular Project,Utility and Infrastructure Protection
DR-4155-0032-R,Regular Project,Utility and Infrastructure Protection
DR-4155-0062-R,Regular Project,Utility and Infrastructure Protection
DR-4155-0028-R,Regular Project,Utility and Infrastructure Protection
DR-4155-0024-R,Regular Project,Utility and Infrastructure Protection
DR-4155-0023-R,Regular Project,Utility and Infrastructure Protection
DR-4155-0065-R,Regular Project,Utility and Infrastructure Protection
DR-4155-0026-R,Regular Project,Utility and Infrastructure Protection
DR-4155-0027-R,Regular Project,Utility and Infrastructure Protection
DR-4155-0054-R,Regular Project,Utility and Infrastructure Protection
DR-4155-0063-R,Regular Project,Utility and Infrastructure Protection
DR-4155-0052-R,Regular Project,Utility and Infrastructure Protection
DR-4155-0022-R,Regular Project,Utility and Infrastructure Protection
DR-4155-0053-R,Regular Project,Utility and Infrastructure Protection
DR-4155-0072-R,Regular Project,Utility and Infrastructure Protection
DR-4155-0039-R,Regular Project,Utility and Infrastructure Protection
DR-4155-0066-R,Regular Project,Utility and Infrastructure Protection
DR-4155-0069-R,Regular Project,Utility and Infrastructure Protection
DR-4155-0047-R,Regular Project,Utility and Infrastructure Protection
DR-4155-0070-R,Regular Project,Utility and Infrastructure Protection
DR-4155-0071-R,Regular Project,Utility and Infrastructure Protection
DR-4155-0074-R,Regular Project,Utility and Infrastructure Protection
DR-4155-0034-R,Regular Project,Utility and Infrastructure Protection
DR-4155-0040-R,Regular Project,Utility and Infrastructure Protection
DR-4155-0043-R,Regular Project,Utility and Infrastructure Protection
DR-4155-0021-R,Regular Project,Utility and Infrastructure Protection
DR-4155-0041-R,Regular Project,Utility and Infrastructure Protection
DR-4155-0067-R,Regular Project,Utility and Infrastructure Protection
DR-4155-0044-R,Regular Project,Utility and Infrastructure Protection
DR-4155-0049-R,Regular Project,Utility and Infrastructure Protection
DR-4155-0068-R,Regular Project,Utility and Infrastructure Protection
DR-4155-0048-R,Regular Project,Utility and Infrastructure Protection
DR-4155-0042-R,Regular Project,Utility and Infrastructure Protection
DR-4155-0038-R,Regular Project,Utility and Infrastructure Protection
DR-4155-0045-R,Regular Project,Utility and Infrastructure Protection
DR-4155-0030-R,Regular Project,Utility and Infrastructure Protection
DR-4155-0029-R,Regular Project,Utility and Infrastructure Protection
DR-4155-0051-R,Regular Project,Utility and Infrastructure Protection
DR-4155-0055-R,Regular Project,Utility and Infrastructure Protection
DR-4155-0020-R,Regular Project,Utility and Infrastructure Protection
DR-4155-0036-R,Regular Project,Utility and Infrastructure Protection
DR-4155-0060-R,Regular Project,Utility and Infrastructure Protection
DR-4155-0057-R,Regular Project,Utility and Infrastructure Protection
DR-4155-0058-R,Regular Project,Utility and Infrastructure Protection
DR-4155-0061-R,Regular Project,Utility and Infrastructure Protection
DR-4155-0056-R,Regular Project,Utility and Infrastructure Protection
DR-4138-0007-R,Regular Project,Acquisitions
DR-4145-0083-R,Regular Project,Flood Control
DR-4145-0053-R,Regular Project,Flood Control
DR-4220-0005-R,Regular Project,Acquisitions
DR-4220-0002-R,Regular Project,Advanced Assistance
DR-4170-0010-R,Regular Project,Acquisitions
DR-4270-0001-R,Regular Project,Acquisitions
DR-4219-0004-R,Regular Project,Acquisitions
DR-4210-0007-R,Regular Project,Acquisitions
DR-4210-0016-R,Regular Project,Acquisitions
DR-4210-0005-R,Regular Project,Acquisitions
DR-4219-0008-R,Regular Project,Acquisitions
DR-4219-0009-R,Regular Project,Acquisitions
DR-4219-0002-R,Regular Project,Advanced Assistance
DR-4210-0011-R,Regular Project,Acquisitions
DR-4210-0006-R,Regular Project,Acquisitions
DR-4219-0003-R,Regular Project,Acquisitions
DR-4219-0007-R,Regular Project,Acquisitions
DR-4210-0012-R,Regular Project,Acquisitions
DR-4236-0002-R,Regular Project,Advanced Assistance
DR-4306-0004-R,Regular Project,Utility and Infrastructure Protection
DR-4110-0007-R,Regular Project,Utility and Infrastructure Protection
DR-4110-0011-R,Regular Project,Flood Control
DR-4298-0022-R,Regular Project,Flood Control
DR-4403-0001-R,Regular Project,Acquisitions
DR-4204-0008-R,Regular Project,Flood Control
DR-4204-0005-R,Regular Project,Flood Control
DR-4267-0013-R,Regular Project,Acquisitions
DR-4267-0010-R,Regular Project,Acquisitions
DR-4248-0015-R,Regular Project,Acquisitions
DR-4222-0037-R,Regular Project,Acquisitions
DR-4176-0016-R,Regular Project,Elevations
DR-4241-0037-R,Regular Project,Utility and Infrastructure Protection
DR-4317-0042-R,Regular Project,Acquisitions
DR-4317-0035-R,Regular Project,Acquisitions
DR-4087-0062-R,Regular Project,Flood Control
DR-4087-0037-R,Regular Project,Elevations
DR-4285-0020-R,Regular Project,Acquisitions
DR-4087-0029-R,Regular Project,Elevations
DR-4087-0038-R,Regular Project,Elevations
DR-4317-0025-R,Regular Project,Utility and Infrastructure Protection
DR-4166-0044-R,Regular Project,Utility and Infrastructure Protection
DR-4166-0022-R,Regular Project,Elevations
DR-4166-0006-R,Regular Project,Utility and Infrastructure Protection
DR-4182-0004-R,Regular Project,Acquisitions
DR-4242-0008-R,Regular Project,Flood Control
DR-4182-0007-R,Regular Project,Acquisitions
DR-4373-0009-R,Regular Project,Acquisitions
DR-4319-0015-R,Regular Project,Acquisitions
DR-4195-0002-R,Regular Project,Acquisitions
DR-4195-0003-R,Regular Project,Acquisitions
DR-4091-0018-R,Regular Project,Elevations
DR-4089-0009-R,Regular Project,Elevations
DR-4091-0017-R,Regular Project,Elevations
DR-4116-0022-R,Regular Project,Acquisitions
DR-4176-0026-R,Regular Project,Acquisitions
DR-4239-0015-R,Regular Project,Utility and Infrastructure Protection
DR-4286-0023-R,Regular Project,Acquisitions
DR-4241-0073-R,Regular Project,Acquisitions
DR-4286-0055-R,Regular Project,Utility and Infrastructure Protection
DR-4116-0026-R,Regular Project,Acquisitions
DR-4272-0056-R,Regular Project,Utility and Infrastructure Protection
DR-4272-0009-F,HMGP 5% Initiative,Flood Control
DR-4086-0605-R,Regular Project,Utility and Infrastructure Protection
DR-4086-0053-R,Regular Project,Elevations
DR-4086-0451-R,Regular Project,Utility and Infrastructure Protection
DR-4086-0648-R,Regular Project,Utility and Infrastructure Protection
DR-4086-0526-R,Regular Project,Flood Control
DR-4086-0108-R,Regular Project,Utility and Infrastructure Protection
DR-4086-0570-R,Regular Project,Utility and Infrastructure Protection
DR-4086-0229-R,Regular Project,Utility and Infrastructure Protection
DR-4086-0224-R,Regular Project,Flood Control
DR-4325-0021-R,Regular Project,Utility and Infrastructure Protection
DR-4252-0003-R,Regular Project,Flood Control
DR-4444-0002-R,Regular Project,Utility and Infrastructure Protection
DR-4166-0032-R,Regular Project,Acquisitions
DR-4267-0014-R,Regular Project,Acquisitions
DR-4267-0009-R,Regular Project,Acquisitions
DR-4167-0008-R,Regular Project,Acquisitions
DR-4167-0010-R,Regular Project,Acquisitions
DR-4323-0003-R,Regular Project,Landslide Stabilization
DR-4196-0004-R,Regular Project,Acquisitions
DR-4292-0001-R,Regular Project,Acquisitions
DR-4301-0004-R,Regular Project,Flood Control
DR-4292-0005-R,Regular Project,Acquisitions
DR-4292-0002-R,Regular Project,Acquisitions
DR-4091-0023-R,Regular Project,Elevations
DR-4091-0016-R,Regular Project,Elevations
DR-4217-0002-R,Regular Project,Acquisitions
DR-4353-0004-R,Regular Project,Flood Control
DR-4317-0009-R,Regular Project,Acquisitions
DR-4317-0015-R,Regular Project,Acquisitions
DR-4087-0011-R,Regular Project,Elevations
DR-4087-0044-R,Regular Project,Elevations
DR-4240-0005-R,Regular Project,Elevations
DR-4283-0021-R,Regular Project,Acquisitions
DR-4283-0028-R,Regular Project,Flood Control
DR-4280-0008-R,Regular Project,Elevations
DR-4276-0010-R,Regular Project,Acquisitions
DR-4386-0014-R,Regular Project,Acquisitions
DR-4360-0001-R,Regular Project,Acquisitions
DR-4276-0012-R,Regular Project,Acquisitions
DR-4301-0003-R,Regular Project,Flood Control
DR-4223-0028-R,Regular Project,Acquisitions
DR-4223-0051-R,Regular Project,Acquisitions
DR-4223-0067-R,Regular Project,Acquisitions
DR-4223-0041-R,Regular Project,Acquisitions
DR-4353-0003-R,Regular Project,Wildfire Mitigation
DR-4317-0036-R,Regular Project,Acquisitions
DR-4317-0038-R,Regular Project,Acquisitions
DR-4317-0012-R,Regular Project,Acquisitions
DR-4283-0002-R,Regular Project,Advanced Assistance
DR-4317-0020-R,Regular Project,Acquisitions
DR-4317-0014-R,Regular Project,Acquisitions
DR-4317-0044-R,Regular Project,Acquisitions
DR-4317-0045-R,Regular Project,Acquisitions
DR-4317-0043-R,Regular Project,Acquisitions
DR-4317-0040-R,Regular Project,Acquisitions
DR-4323-0007-R,Regular Project,Advanced Assistance
DR-4086-0586-R,Regular Project,Floodproofing
DR-4086-0244-R,Regular Project,Utility and Infrastructure Protection
DR-4086-0092-R,Regular Project,Floodproofing
DR-4086-0299-R,Regular Project,Utility and Infrastructure Protection
DR-4086-0469-R,Regular Project,Utility and Infrastructure Protection
DR-4094-0003-R,Regular Project,Elevations
DR-4273-0002-R,Regular Project,Advanced Assistance
DR-4273-0032-R,Regular Project,Acquisitions
DR-4273-0084-R,Regular Project,Acquisitions
